"Drug","Pearson.est","Pearson.p","Pearson.q","Spearman.est","Spearman.p","Spearman.q","Slope","Intercept","R.squared","Rank.slope","Rank.intercept","Rank.R.squared","N"
"clenbuterol",0.00857995241433424,0.886548699807649,0.970224320427005,0.062292101802429,0.299820141979387,0.635636260009008,0.000103756439006688,1.0817698179498,7.36155834322409e-05,0.0622921018024293,131.27910574766,0.0038803059469642,279
"clindamycin.phosphate",0.000589502195862569,0.991914681231018,0.994662367328611,0.0212057501231706,0.715432028972665,0.900822241697756,6.05683313643119e-06,1.08366077321628,3.47512838926743e-07,0.0212057501231708,146.329740356586,0.00044968383828635,298
"clobetasol.propionate",0.00526547818496296,0.929105649883482,0.984621942992584,-0.0103143122385253,0.861642998529146,0.962699893418367,0.000102546485661158,1.11812079204569,2.77252605163208e-05,-0.010314312238525,145.990418118467,0.000106385036953793,288
"clobutinol",0.0218638657671514,0.742638086701049,0.907459873032168,-0.0098726607990264,0.882139032810329,0.964771353835172,0.000385429918764435,1.29776656877956,0.000478028626284014,-0.00987266079902635,115.630419661489,9.74694312526322e-05,228
"clocortolone.pivalate",0.00150847879324297,0.984800312534434,0.992102664430746,-0.0475033201093484,0.548322534124479,0.813567976682232,2.51335437131254e-05,1.05050035116163,2.27550826966389e-06,-0.0475033201093484,85.3715205889119,0.00225656542141121,162
"clofarabine",0.14662977317656,0.00893577011209007,0.120925188058938,0.137466576356591,0.0143057211220083,0.134001965912283,0.00103535136848874,0.709066449732273,0.0215002903818094,0.137466576356591,137.142814359302,0.0188970596152025,317
"clofazimine",0.104854671864768,0.0716519078739199,0.335791032645938,0.0957347177686161,0.100198713014884,0.382285916340557,0.00110607200818042,1.0813996093577,0.0109945022118683,0.0957347177686161,134.283394411361,0.00916513618623655,296
"clofibrate",0.0272545528347649,0.678318371374491,0.879751479063197,0.0492258053941919,0.45359681174867,0.750637923899514,0.000356381733482879,1.21472796391843,0.000742810650222993,0.0492258053941919,111.715967866182,0.00242317991670686,234
"clofoctol",0.0798418733490271,0.175866821781606,0.505268170515408,0.0956702660780337,0.104574258993846,0.38730230482207,0.000543216311744235,1.18546970461581,0.00637472473988208,0.0956702660780336,131.127811418685,0.00915279981144177,289
"clomifene",-0.0280652589271787,0.624251658063535,0.852907111846984,-0.0555985497545183,0.331576867066751,0.661326864342501,-0.000237076041789191,0.976063369848219,0.000787658758649582,-0.0555985497545184,162.562176662196,0.00309119873480566,307
