"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"CDKL5","HGNC:11411","CDKL5","EIEE2|CFAP247","STK9"
"CAMK1G","HGNC:14585","CAMK1G","VWS1|CLICKIII|dJ272L16.1",""
"CDK11A","HGNC:1730","CDK11A","PITSLRE|CDK11-p110|CDK11-p58|CDK11-p46|p58GTA","CDC2L3|CDC2L2"
"NADK","HGNC:29831","NADK","FLJ13052",""
"TFAP2B","HGNC:11743","TFAP2B","AP2-B|AP-2beta",""
"TFAP2D","HGNC:15581","TFAP2D","AP-2delta","TFAP2BL1"
"DLEC1","HGNC:2899","DLEC1","DLC1|CFAP81|FAP81",""
"CYTH3","HGNC:9504","CYTH3","GRP1|ARNO3|cytohesin-3","PSCD3"
"ADAM22","HGNC:201","ADAM22","MDC2",""
"SYPL1","HGNC:11507","SYPL1","","SYPL"
"CYB561","HGNC:2571","CYB561","FRRS2|CYB561A1",""
"SPAG9","HGNC:14524","SPAG9","HSS|SYD1|KIAA0516|MGC14967|MGC74461|MGC117291|JLP|PHET|HLC4|FLJ13450|FLJ14006|FLJ26141|FLJ34602|CT89|JIP4|JIP-4|PIG6",""
"CELSR3","HGNC:3230","CELSR3","MEGF2|HFMI1|FMI1|CDHF11|ADGRC3","EGFL1"
"AASS","HGNC:17366","AASS","LORSDH|LKRSDH",""
"PLEKHG6","HGNC:25562","PLEKHG6","FLJ10665|MYOGEF",""
"SS18L2","HGNC:15593","SS18L2","KIAA-iso",""
"MPND","HGNC:25934","MPND","FLJ14981",""
"MGST1","HGNC:7061","MGST1","MGST-I|PMAN","GST12"
"CRY1","HGNC:2384","CRY1","","PHLL1"
"PGLYRP1","HGNC:8904","PGLYRP1","TAG7|PGRP|PGRP-S|PGRPS","TNFSF3L|PGLYRP"
"NFIX","HGNC:7788","NFIX","NF1A",""
"ST3GAL1","HGNC:10862","ST3GAL1","ST3O|SIATFL|ST3GalA.1","SIAT4A"
"MMP25","HGNC:14246","MMP25","MT6-MMP","MMPL1|MMP20"
"IL32","HGNC:16830","IL32","NK4|TAIF|TAIFb|TAIFd",""
"PKD1","HGNC:9008","PKD1","PBP|Pc-1|TRPP1",""
"MAPK8IP2","HGNC:6883","MAPK8IP2","IB2|JIP2","PRKM8IPL"
"MED24","HGNC:22963","MED24","TRAP100|KIAA0130|DRIP100|CRSP100|MED5","THRAP4|CRSP4"
"RHOBTB2","HGNC:18756","RHOBTB2","KIAA0717|DBC2",""
"HEATR5B","HGNC:29273","HEATR5B","KIAA1414|DKFZp686P15184|p200|p200a",""
"SEC62","HGNC:11846","SEC62","Dtrp1|HTP1","TLOC1"
"RPS20","HGNC:10405","RPS20","S20|uS10",""
