Gene,Log2FC,sd.Log2FC
EIF1,-0.697672159,NA
EIF1AX,-0.760300081,NA
EIF1AY,-4.915911147,NA
EIF1B,-0.499931121,NA
EIF2AK1,0.723321084,NA
EIF2B4,-0.5210538,NA
EIF3A,-0.8268596,NA
EIF3B,0.544140946,NA
EIF3F,-0.680577244,NA
EIF3H,0.458592439,NA
EIF4A3,-0.510708276,NA
EIF4B,-0.777724602,NA
EIF4EBP1,-0.758952965,NA
EIF4EBP2,0.859849687,NA
EIF4ENIF1,0.624457734,NA
ELAC2,-0.705642084,NA
ELAVL4,-1.166613068,NA
ELF4,1.289796889,NA
ELK1,-0.623652358,NA
ELK3,0.76595301,NA
ELK4,1.356137291,NA
ELL,0.928393242,NA
ELMO1,-3.18067062,NA
