ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000128567,-4.092532945,-4.092532945,-7.508628834,0.000152902,0.023246427,1.56999658,PODXL
ENSG00000128594,-4.198044276,-4.198044276,-7.290478275,0.000183381,0.02454771,1.395549916,LRRC4
ENSG00000128609,2.450627884,2.450627884,5.431392429,0.001052569,0.037247195,-0.334347821,NDUFA5
ENSG00000128708,2.555034764,2.555034764,5.688288319,0.000807472,0.035595909,-0.066871699,HAT1
ENSG00000128815,-6.686825823,-6.686825823,-7.654294541,0.00069963,0.033749705,-0.033604515,WDFY4
ENSG00000128917,-4.328851343,-4.328851343,-10.02724135,2.45E-05,0.016878747,3.24531244,DLL4
ENSG00000128951,2.3896491,2.3896491,5.535928306,0.000943986,0.036236858,-0.224314532,DUT
ENSG00000129467,-3.645045895,-3.645045895,-5.446042808,0.001036542,0.037187928,-0.318827466,ADCY4
ENSG00000130176,-5.246483248,-5.246483248,-7.25352382,0.000394186,0.030215461,0.720693555,CNN1
ENSG00000130332,2.481926817,2.481926817,4.943084229,0.001784186,0.044302782,-0.870618671,LSM7
ENSG00000130508,-4.539941843,-4.539941843,-5.869333033,0.000673195,0.033749705,0.11577771,PXDN
ENSG00000130513,2.452952985,2.452952985,4.717850542,0.002301239,0.047407147,-1.130662174,GDF15
ENSG00000130635,-3.614046039,-3.614046039,-5.148610936,0.001423222,0.041183387,-0.640371644,COL5A1
ENSG00000130748,2.619480831,2.619480831,5.10079364,0.001499296,0.04198946,-0.693346056,TMEM160
ENSG00000131018,-2.708419173,-2.708419173,-5.942583631,0.000626141,0.033261048,0.188333434,SYNE1
ENSG00000131471,-2.734490908,-2.734490908,-5.093380798,0.00151149,0.042011862,-0.7015905,AOC3
ENSG00000131495,1.971906863,1.971906863,4.555758784,0.00277621,0.049730186,-1.322857923,NDUFA2
ENSG00000131634,-4.358056226,-4.358056226,-7.239475185,0.000191463,0.025033335,1.353981572,TMEM204
ENSG00000131730,-4.872387932,-4.872387932,-7.686633356,0.00013224,0.022929945,1.708415107,CKMT2
ENSG00000131914,-3.69094776,-3.69094776,-7.214415196,0.00019558,0.025198506,1.333446766,LIN28A
ENSG00000132432,3.805737911,3.805737911,8.933711784,5.14E-05,0.019406976,2.587745427,SEC61G
ENSG00000132549,-2.233638289,-2.233638289,-4.768687188,0.002171415,0.047407147,-1.071257509,VPS13B
ENSG00000132646,2.417873093,2.417873093,4.71835587,0.002299907,0.047407147,-1.13006963,PCNA
ENSG00000132963,2.122896031,2.122896031,4.776785035,0.002151496,0.047332437,-1.061833247,POMP
